City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Beringovskiy,RU,2022-04-20 18:55:31,63.05,179.3167,23.54,99,97,2.42
130,Qaanaaq,GL,2022-04-20 18:55:32,77.484,-69.3632,-0.38,79,100,8.32
131,Kavieng,PG,2022-04-20 18:55:32,-2.5744,150.7967,82.58,76,76,14.32
132,Port Elizabeth,ZA,2022-04-20 18:55:32,-33.918,25.5701,70.32,83,0,3.44
133,Okha,RU,2022-04-20 18:55:33,53.5739,142.9478,30.96,95,100,12.84
134,Nador,MA,2022-04-20 18:55:33,35.174,-2.9287,62.67,51,20,20.71
135,Severo-Kurilsk,RU,2022-04-20 18:55:33,50.6789,156.125,31.86,88,29,5.91
136,Strezhevoy,RU,2022-04-20 18:56:33,60.7333,77.5889,32.13,98,100,7.31
137,Nha Trang,VN,2022-04-20 18:55:54,12.25,109.1833,78.8,92,100,4.81
138,Saint George,US,2022-04-20 18:54:58,37.1041,-113.5841,76.78,20,0,4.0
139,Vanimo,PG,2022-04-20 18:56:34,-2.6741,141.3028,78.04,88,100,4.61
140,Palmer,US,2022-04-20 18:56:34,42.1584,-72.3287,56.64,36,6,5.01
141,Biak,ID,2022-04-20 18:56:35,-0.9131,122.8766,75.9,85,98,0.74
142,Kahului,US,2022-04-20 18:53:08,20.8947,-156.47,77.97,70,40,14.97
143,Daru,PG,2022-04-20 18:56:35,-9.0763,143.2092,77.85,86,71,2.91
144,Along,IN,2022-04-20 18:56:35,28.1667,94.7667,66.45,93,53,2.28
145,Smithers,CA,2022-04-20 18:55:13,54.7804,-127.1743,39.52,65,75,2.3
146,Necochea,AR,2022-04-20 18:56:36,-38.5473,-58.7368,72.32,55,88,8.5
147,Saint-Philippe,RE,2022-04-20 18:56:36,-21.3585,55.7679,76.59,86,47,3.0
148,Richards Bay,ZA,2022-04-20 18:56:36,-28.783,32.0377,64.83,87,100,6.69
149,Talnakh,RU,2022-04-20 18:56:37,69.4865,88.3972,-2.81,91,44,4.05
150,Muravlenko,RU,2022-04-20 18:56:37,63.7898,74.523,6.1,95,18,14.09
151,Acapulco,MX,2022-04-20 18:56:37,16.8634,-99.8901,88.81,46,0,11.03
152,Avera,US,2022-04-20 18:56:09,33.194,-82.5271,71.11,39,17,9.95
153,Klaksvik,FO,2022-04-20 18:56:38,62.2266,-6.589,47.32,93,9,15.73
154,Ossora,RU,2022-04-20 18:56:38,59.2353,163.0719,9.34,94,22,5.35
155,Merauke,ID,2022-04-20 18:56:38,-8.4667,140.3333,79.75,82,100,3.47
156,Vershino-Shakhtaminskiy,RU,2022-04-20 18:56:39,51.3012,117.8868,26.15,45,11,4.0
157,Ginir,ET,2022-04-20 18:56:39,7.1333,40.7,60.37,82,85,3.94
158,Windsor,CA,2022-04-20 18:55:42,42.3001,-83.0165,52.92,60,20,11.5
159,Avarua,CK,2022-04-20 18:56:39,-21.2078,-159.775,77.05,73,75,16.11
160,Zhigansk,RU,2022-04-20 18:56:40,66.7697,123.3711,13.89,96,99,4.59
161,Bud,US,2022-04-20 18:55:37,39.447,-86.1758,63.68,41,94,16.02
162,Dikson,RU,2022-04-20 18:56:40,73.5069,80.5464,-0.2,100,88,9.24
163,Howard Springs,AU,2022-04-20 18:56:40,-12.497,131.047,78.71,98,95,4.25
164,Tadine,NC,2022-04-20 18:56:41,-21.55,167.8833,75.33,76,94,8.43
165,Cockburn Town,TC,2022-04-20 18:56:41,21.4612,-71.1419,78.76,78,75,13.8
166,Tateyama,JP,2022-04-20 18:56:41,34.9833,139.8667,55.33,88,75,5.75
167,Takoradi,GH,2022-04-20 18:56:42,4.8845,-1.7554,81.03,85,13,12.64
168,Wattegama,LK,2022-04-20 18:56:42,6.7989,81.4808,75.63,93,83,1.21
169,Maltahohe,NA,2022-04-20 18:56:42,-24.8333,16.9833,68.32,29,18,7.94
170,Maniitsoq,GL,2022-04-20 18:56:42,65.4167,-52.9,21.31,54,94,4.32
171,Tilichiki,RU,2022-04-20 18:56:43,60.4667,166.1,4.32,99,97,7.7
172,Hay River,CA,2022-04-20 18:56:43,60.8156,-115.7999,26.58,43,0,5.75
173,Asyut,EG,2022-04-20 18:56:43,27.181,31.1837,71.78,29,0,16.24
174,Lahar,IN,2022-04-20 18:56:44,26.1983,78.945,92.01,14,42,6.49
175,Lingyuan,CN,2022-04-20 18:56:44,41.24,119.4011,60.67,37,100,11.52
176,Mahebourg,MU,2022-04-20 18:55:08,-20.4081,57.7,77.29,88,40,3.44
177,Hobyo,SO,2022-04-20 18:56:33,5.3505,48.5268,83.34,65,99,12.62
178,Santa Cruz,BO,2022-04-20 18:53:14,-17.8,-63.1667,89.06,54,75,18.41
179,Port Moresby,PG,2022-04-20 18:55:18,-9.4431,147.1797,76.01,91,100,3.96
180,Grand Gaube,MU,2022-04-20 18:56:45,-20.0064,57.6608,77.4,88,100,1.99
181,Cranbrook,CA,2022-04-20 18:56:45,49.4999,-115.7688,44.44,36,75,4.61
182,Provideniya,RU,2022-04-20 18:56:46,64.3833,-173.3,24.42,81,58,5.28
183,Zaysan,KZ,2022-04-20 18:57:46,47.4667,84.8667,47.21,25,0,6.46
184,Narsaq,GL,2022-04-20 18:57:46,60.9167,-46.05,35.08,43,65,1.25
185,Homer,US,2022-04-20 18:53:14,59.6425,-151.5483,44.04,51,27,3.42
186,Buchanan,LR,2022-04-20 18:57:47,5.8808,-10.0467,80.55,85,76,8.05
187,Prainha,BR,2022-04-20 18:57:47,-1.8,-53.48,84.4,76,92,2.53
188,Saint-Pierre,RE,2022-04-20 18:57:47,-21.3393,55.4781,76.91,83,0,4.61
189,Karasjok,NO,2022-04-20 18:57:48,69.4719,25.5112,42.69,89,100,3.53
190,Baoding,CN,2022-04-20 18:57:48,38.8511,115.4903,62.62,40,100,9.69
191,Orel-Izumrud,RU,2022-04-20 18:57:48,43.4583,39.9244,48.22,93,100,2.24
192,Jamsa,FI,2022-04-20 18:57:49,61.8642,25.19,47.12,92,45,3.56
193,Mamallapuram,IN,2022-04-20 18:57:50,12.6264,80.1722,86.05,81,2,10.29
194,Faanui,PF,2022-04-20 18:57:50,-16.4833,-151.75,80.58,70,6,6.4
195,Leningradskiy,RU,2022-04-20 18:56:27,69.3833,178.4167,14.88,92,89,3.85
196,Lebu,CL,2022-04-20 18:55:42,-37.6167,-73.65,56.37,63,1,9.8
197,Evensk,RU,2022-04-20 18:57:51,61.95,159.2333,18.18,95,100,5.66
198,Buriti Dos Lopes,BR,2022-04-20 18:57:51,-3.175,-41.8669,85.75,89,99,5.23
199,Nuuk,GL,2022-04-20 18:57:51,64.1835,-51.7216,22.87,57,100,15.01
200,Te Anau,NZ,2022-04-20 18:57:52,-45.4167,167.7167,59.4,95,98,2.68
201,Mansoa,GW,2022-04-20 18:57:52,12.0733,-15.3189,91.6,49,98,13.24
202,Bethel,US,2022-04-20 18:54:39,41.3712,-73.414,57.45,41,3,8.99
203,Port Blair,IN,2022-04-20 18:57:52,11.6667,92.75,84.24,79,20,2.3
204,Broken Hill,AU,2022-04-20 18:57:53,-31.95,141.4333,55.11,88,100,0.0
205,Ancud,CL,2022-04-20 18:57:53,-41.8697,-73.8203,51.22,70,100,12.62
206,Sao Joao Da Barra,BR,2022-04-20 18:57:53,-21.6403,-41.0511,84.29,70,0,13.04
207,Varhaug,NO,2022-04-20 18:57:54,58.6147,5.6457,53.15,66,5,4.83
208,San Patricio,US,2022-04-20 18:57:54,28.017,-97.5169,82.29,54,100,23.02
209,Skjervoy,NO,2022-04-20 18:57:54,70.0311,20.9714,41.0,88,14,4.12
210,Nalvo,PH,2022-04-20 18:57:55,16.8096,120.5108,73.29,85,8,3.33
211,Garowe,SO,2022-04-20 18:57:55,8.4054,48.4845,78.13,60,25,17.38
212,Los Llanos De Aridane,ES,2022-04-20 18:55:33,28.6585,-17.9182,62.35,72,75,18.41
