City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Libertador General San Martin,AR,80.978,overcast clouds,-23.8064,-64.7876,Posada del Sol
429,Mahajanga,MG,87.818,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
430,Deogarh,IN,80.51,overcast clouds,21.5333,84.7333,Amit Henej House
431,Sao Filipe,CV,75.56,few clouds,14.8961,-24.4956,Hotel Xaguate
432,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
442,Braganca Paulista,BR,75.326,clear sky,-22.94,-46.5556,Grande Hotel Bragança.
445,Ubatuba,BR,76.622,clear sky,-23.4339,-45.0711,Hotel Coquille
446,Bartica,GY,80.924,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
450,Galle,LK,81.788,few clouds,6.0367,80.217,Amangalla
451,Totness,SR,82.22,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
461,Acoyapa,NI,82.49,clear sky,11.9703,-85.1711,Hotel y Restaurante Los Robles
464,Giyon,ET,79.214,broken clouds,8.5333,37.9833,Negash Lodge
466,Nieuw Amsterdam,SR,79.016,scattered clouds,5.8833,-55.0833,Hotel Stardust
471,Point Fortin,TT,86.9,broken clouds,10.1833,-61.6833,Jus Les' Suites
472,Abu Dhabi,AE,86.018,clear sky,24.4667,54.3667,Beach Rotana
473,Marhaura,IN,87.728,clear sky,25.9667,84.8667,Mishti Polutry Farm
474,Tahta,EG,88.664,clear sky,26.7693,31.5021,فندق الزيات
478,Lahij,YE,86.648,clear sky,13.1667,44.5833,
479,Fort Wellington,GY,81.914,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
481,Meybod,IR,87.818,broken clouds,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
485,Porto Novo,BJ,86.594,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
491,Asyut,EG,87.368,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
492,Maragogi,BR,83.768,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
496,Saint-Georges,GD,83.876,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
498,Grand Gaube,MU,79.196,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
500,Nicoya,CR,83.804,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
508,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
512,Edgewater,US,76.154,few clouds,28.9889,-80.9023,Islander Beach Resort
517,Buraydah,SA,86.45,broken clouds,26.326,43.975,Mövenpick Qassim
525,Samana,DO,79.016,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
527,Aripuana,BR,80.906,overcast clouds,-9.1667,-60.6333,
528,Aquidaba,BR,85.892,broken clouds,-10.2814,-37.0186,POUSADA 2000
536,Shakawe,BW,79.826,few clouds,-18.3667,21.85,Ditlhapi Guest House
540,Vredendal,ZA,76.928,clear sky,-31.6683,18.5012,Tharrakamma Guest House
542,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
544,Saint-Pierre,RE,80.276,clear sky,-21.3393,55.4781,Lindsey Hôtel
546,Brokopondo,SR,77.27,light rain,4.75,-55.1667,Matu Island
551,Demba,CD,76.478,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
553,Porbandar,IN,85.766,clear sky,21.6422,69.6093,Lords Inn Porbandar
554,Semnan,IR,82.238,broken clouds,35.5729,53.3971,Semnan Tourist Hotel
555,Itamarandiba,BR,78.512,clear sky,-17.8572,-42.8589,Aricanduva Hotel
556,Dakar,SN,88.682,clear sky,14.6937,-17.4441,Novotel Dakar
559,Koungou,YT,80.312,light rain,-12.7336,45.2042,Villa Netibor
561,Ilhabela,BR,75.218,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
566,Kudahuvadhoo,MV,84.596,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
571,Mapiripan,CO,76.784,overcast clouds,2.8892,-72.1256,Monserrate
574,Faya,SA,77.108,clear sky,18.3851,42.4509,املاك خالد الشعشوع
576,Puerto Ayora,EC,76.964,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
581,Ugoofaaru,MV,83.858,overcast clouds,5.6667,73.0,Ungoofaaru Inn
585,Sao Domingos,BR,83.57,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
591,Tucuma,BR,82.094,overcast clouds,-0.1833,-50.05,
592,Urambo,TZ,79.322,light rain,-5.0667,32.05,Fair Lodge
596,Buchanan,LR,86.432,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
597,Pozo Colorado,PY,77.936,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
598,Yarada,IN,86.324,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
600,Takaungu,KE,84.686,overcast clouds,-3.6837,39.8566,Takaungu House
604,Lodja,CD,80.168,light rain,-3.4833,23.4333,
608,Almeirim,BR,78.494,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
609,Awjilah,LY,86.738,scattered clouds,29.1081,21.2869,المنزل
610,Zambezi,ZM,79.07,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
612,Mutis,CO,80.888,broken clouds,6.2262,-77.4044,Paraiso Escondido
613,Nosy Varika,MG,78.962,overcast clouds,-20.5833,48.5333,Hotel Volazara
614,Kinkala,CG,86.324,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
616,Tukrah,LY,79.916,overcast clouds,32.5341,20.5791,Lagrota restaurant
620,Matay,EG,84.776,clear sky,28.419,30.7792,Nag Aespen
624,Yangambi,CD,83.228,overcast clouds,0.8102,24.4336,
634,Satipo,PE,79.538,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
635,San Andres,CO,84.218,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
636,Fomboni,KM,83.39,light rain,-12.28,43.7425,Auberge les abou
646,Kismayo,SO,84.038,overcast clouds,-0.3582,42.5454,Agan-Hotel
647,Pangoa,PE,80.15,few clouds,-12.1167,-73.0,
652,San Rafael Abajo,CR,82.004,broken clouds,9.831,-84.2901,Establo San Rafael Natural Horsemanship Vacation Rentals.
657,Surt,LY,87.854,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
660,Benjamin Constant,BR,78.926,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
661,Turuvekere,IN,89.24,broken clouds,13.1642,76.6667,Sri lakshmipriya militari hotel
671,Lethem,GY,85.028,overcast clouds,3.3803,-59.7968,Savannah Inn
674,Sokoni,TZ,81.572,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
